nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	
3	1.17120	12.61814	2.24617	0.00000	2.40749	5.93107	5.39048	6.26283	0.47585	0.16088	0.07954	6.75702	0.07816	0.07816	0.00374	0.00441	3.41822	0.62927	322.00940	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
3	0.63390	81.66069	0.39334	0.00000	2.40749	0.02624	2.48291	5.31321	0.48446	0.26301	0.05780	6.75702	0.27144	0.27144	0.01138	0.01530	0.28343	0.05820	172.07986	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
4	1.01232	18.23968	1.02127	0.00000	0.83555	4.84431	0.02477	0.07650	0.62935	0.50784	0.09983	1.67019	0.09992	0.09992	0.00562	0.00563	2.09140	0.28172	261.15912	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
4	1.72943	31.63038	2.59716	0.00000	0.83555	5.99423	3.78715	2.73003	0.50764	0.29476	0.07915	1.67019	0.14423	0.14423	0.00801	0.00813	1.00382	0.23705	233.36672	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
4	0.72960	176.02756	0.49415	0.00000	0.83555	5.28294	0.27579	5.36521	0.63801	0.39648	0.05958	1.67019	0.45294	0.45294	0.02288	0.02554	0.10179	0.57237	121.94064	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
4	0.66011	214.00872	0.42737	0.00000	0.83555	4.39912	2.28694	4.04579	0.75575	0.47413	0.03858	1.67019	0.51595	0.51595	0.02907	0.02909	0.07844	0.30016	103.55049	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
4	0.95605	361.14962	0.60805	0.00000	0.83555	4.65583	1.63008	5.39585	0.25698	0.24169	0.00457	1.67019	0.73133	0.73133	0.03567	0.04124	0.03904	0.10847	114.86570	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
5	2.53769	1.40497	3.00300	0.00000	2.14365	4.15829	1.47814	4.83857	0.60315	0.26828	0.01077	0.67740	0.01809	0.01809	0.00102	0.00102	63.81227	0.30435	624.36016	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
5	0.53515	5.92259	0.30038	0.00000	2.14365	5.08579	2.34727	4.58365	0.76443	0.42599	0.01713	0.67740	0.04721	0.04721	0.00229	0.00266	9.37083	0.10666	339.25831	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
5	2.47149	17.64217	6.46922	0.00000	2.14365	5.07203	0.32572	3.02421	0.51283	0.49188	0.08598	0.67740	0.09773	0.09773	0.00543	0.00551	2.18637	0.41004	282.75204	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
5	0.63711	162.76314	0.41860	0.00000	2.14365	5.90450	5.27076	3.60167	0.51210	0.04511	0.04988	0.67740	0.42989	0.42989	0.02176	0.02424	0.11299	0.12932	134.86518	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
5	1.04227	265.09684	1.20560	0.00000	2.14365	3.23235	0.10275	1.35288	0.15326	0.52012	0.09703	0.67740	0.59511	0.59511	0.01847	0.03355	0.05896	0.02032	131.56447	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
5	2.15449	417.03729	6.60480	0.00000	2.14365	5.17513	5.56519	1.87001	0.05531	0.56464	0.09569	0.67740	0.80496	0.80496	0.02908	0.04539	0.03223	0.03400	116.26078	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
6	0.59625	5.63385	0.06210	0.00000	2.56667	1.89327	2.45926	5.04780	0.70597	0.20443	0.04793	140.35635	0.04566	0.04566	0.00221	0.00257	10.01660	0.10523	364.61188	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
6	0.63707	35.95275	0.31966	0.00000	2.56667	1.85875	5.34574	2.10458	0.67704	0.27127	0.02545	140.35635	0.15709	0.15709	0.00767	0.00886	0.84622	0.10898	201.23966	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
6	1.10313	115.97101	1.86368	0.00000	2.56667	2.21548	2.40888	0.79985	0.55259	0.52639	0.05947	140.35635	0.34294	0.34294	0.01932	0.01934	0.17755	0.33676	147.76145	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
6	1.10179	370.42228	1.86368	0.00000	2.56667	2.74214	1.38937	2.39611	0.10436	0.30700	0.03851	140.35635	0.74380	0.74380	0.03964	0.04194	0.03775	0.49864	119.34461	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
6	0.95424	482.45131	1.25666	0.00000	2.56667	3.28112	3.07123	5.97566	0.62596	0.02239	0.08695	140.35635	0.88707	0.88707	0.04900	0.05002	0.02654	0.22442	87.85109	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
7	1.35059	0.63631	3.19580	0.00000	0.95874	4.27895	5.46253	2.58248	0.50628	0.22346	0.08461	0.05080	0.01067	0.01067	0.00036	0.00060	183.47157	0.02639	858.65059	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
7	0.62976	2.21748	0.22467	0.00000	0.95874	4.39370	1.97045	1.29234	0.43911	0.35234	0.00178	0.05080	0.02452	0.02452	0.00138	0.00138	34.72533	0.36934	584.70256	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
8	3.35021	59.60237	16.79656	0.00000	1.95844	2.66010	1.05674	0.19914	0.71422	0.49564	0.03113	3.44623	0.22004	0.22004	0.00589	0.01241	0.43130	0.01251	164.91363	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
9	1.15145	235.56198	1.00030	0.00000	2.43680	1.32598	6.25494	1.70420	0.45465	0.42035	0.03310	0.53845	0.55004	0.55004	0.02372	0.03101	0.06902	0.06487	122.59416	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
9	1.97555	411.69242	4.64220	0.00000	2.43680	5.54737	1.59123	0.66701	0.24705	0.46031	0.07352	0.53845	0.79807	0.79807	0.03895	0.04500	0.03279	0.10876	110.32391	30	0.39300	0.40000	3500.00000	17.73540	M	160.46102	-36.63076	275.82435	19.32796	
1	0.74644	5.92669	0.52588	0.00000	1.19396	1.10700	0.43032	4.57550	0.08214	0.13754	0.04403	2.95869	0.03162	0.03162	0.00075	0.00164	1.62093	0.90109	307.38977	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
2	0.63642	5.17896	0.20254	0.00000	0.49926	3.17396	2.95502	5.61873	0.15524	0.39324	0.06157	0.11427	0.02890	0.02890	0.00140	0.00150	1.94024	0.15916	314.92062	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
2	0.73600	49.59630	0.33320	0.00000	0.49926	1.04849	0.98200	6.12412	0.19837	0.15335	0.03703	0.11427	0.13032	0.13032	0.00631	0.00674	0.09541	0.16262	146.36669	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
2	1.04237	70.56219	0.62079	0.00000	0.49926	4.27031	0.82608	4.04501	0.70338	0.22808	0.02335	0.11427	0.16485	0.16485	0.00752	0.00853	0.05962	0.59097	101.49782	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
2	0.50313	140.98324	0.06888	0.00000	0.49926	6.14242	0.19151	1.21188	0.50444	0.15579	0.09578	0.11427	0.26150	0.26150	0.01193	0.01353	0.02369	0.11845	91.61845	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
3	0.96956	2.74159	0.82996	0.00000	1.17060	0.67148	3.07040	5.69361	0.19108	0.43044	0.02963	0.21242	0.01891	0.01891	0.00081	0.00098	4.53082	0.08805	385.10127	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
3	0.90625	7.61908	0.97977	0.00000	1.17060	0.84862	5.33836	0.09934	0.39311	0.27687	0.01428	0.21242	0.03738	0.03738	0.00140	0.00193	1.15960	0.74203	254.92246	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
3	2.49274	201.36877	7.79694	0.00000	1.17060	1.12589	5.09955	5.20832	0.73362	0.34561	0.00746	0.21242	0.33166	0.33166	0.01206	0.01716	0.01473	0.75882	69.65888	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
4	3.39225	1.21475	11.56315	0.00000	1.67381	4.38119	1.66136	4.96248	0.41514	0.45693	0.05378	6.54249	0.01099	0.01099	0.00054	0.00057	13.41310	0.16989	465.79877	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
4	1.69093	188.36323	3.40098	0.00000	1.67381	4.79461	0.12389	5.63477	0.35796	0.07039	0.00305	6.54249	0.31722	0.31722	0.01423	0.01641	0.01610	0.60776	88.74760	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
4	3.25181	432.32245	7.17616	0.00000	1.67381	0.23227	0.42573	5.47509	0.65887	0.25938	0.07740	6.54249	0.55195	0.55195	0.02652	0.02856	0.00532	0.52607	57.44161	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
5	0.82741	67.57228	0.41860	0.00000	2.76281	0.74672	3.09456	3.58031	0.17870	0.54811	0.09798	4.41209	0.16016	0.16016	0.00820	0.00829	0.06317	0.25090	132.83174	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
5	3.83461	378.21080	11.09328	0.00000	2.76281	6.06917	1.32720	1.80694	0.09445	0.51710	0.00872	4.41209	0.50488	0.50488	0.02612	0.02612	0.00636	0.31693	76.66241	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
6	2.44020	2.46630	6.88456	0.00000	1.46213	4.79859	4.93696	3.48241	0.36917	0.33278	0.02309	1.14290	0.01762	0.01762	0.00050	0.00091	5.21737	0.01947	374.88175	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
6	1.75195	5.31648	3.54503	0.00000	1.46213	5.88450	4.40245	3.39445	0.34309	0.33257	0.06871	1.14290	0.02941	0.02941	0.00019	0.00152	1.87362	0.00020	293.15753	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
6	3.53109	485.82003	12.30552	0.00000	1.46213	3.72856	4.84559	2.39365	0.55432	0.57287	0.05769	1.14290	0.59660	0.59660	0.01801	0.03087	0.00455	0.02468	59.06954	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
7	2.01388	56.71195	7.96035	0.00000	2.44274	5.14836	5.92515	3.74400	0.02193	0.36125	0.05906	0.54097	0.14250	0.14250	0.00728	0.00737	0.07979	0.40000	147.10704	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
7	1.94991	491.52950	4.83882	0.00000	2.44274	1.75978	5.12268	4.15122	0.35504	0.01259	0.07169	0.54097	0.60126	0.60126	0.03097	0.03111	0.00448	0.27145	64.53544	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
8	1.96008	5.20170	8.12718	0.00000	1.38462	2.67934	5.07506	0.26384	0.34170	0.27236	0.02170	112.19273	0.02898	0.02898	0.00091	0.00150	1.92894	0.82401	295.45394	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
9	1.03490	5.33003	0.34018	0.00000	2.90253	3.22558	2.64300	5.16317	0.11643	0.01381	0.08425	156.58033	0.02946	0.02946	0.00148	0.00152	1.86727	0.20899	315.43889	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
9	2.15310	12.25072	2.82183	0.00000	2.90253	1.99928	1.32273	1.20842	0.74118	0.05826	0.03088	156.58033	0.05130	0.05130	0.00263	0.00265	0.61560	0.25338	175.84414	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
9	3.71550	220.18606	12.82673	0.00000	2.90253	0.58221	2.93280	5.62768	0.36217	0.03927	0.03010	156.58033	0.35201	0.35201	0.01792	0.01821	0.01308	0.23343	84.10939	31	0.14900	0.12000	3000.00000	19.32595	M	214.34209	45.42944	85.53942	64.96215	
0	0.51528	0.51520	0.15150	0.00000	1.68630	4.41236	3.53721	1.67227	0.67337	0.17829	0.08194	7.28548	0.00710	0.00710	0.00018	0.00038	97.41342	0.88677	661.03401	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
1	3.22773	1.15596	8.64896	0.00000	0.85177	3.03505	2.87166	2.57504	0.33232	0.19985	0.01099	0.16843	0.01217	0.01217	0.00054	0.00065	33.16373	0.64866	603.75740	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
1	3.00330	3.44274	17.14858	0.00000	0.85177	2.34903	4.26040	3.27197	0.01678	0.49885	0.09134	0.16843	0.02520	0.02520	0.00094	0.00134	7.73954	0.04662	462.26901	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
1	0.54490	13.67634	0.11099	0.00000	0.85177	4.54485	3.62391	5.12623	0.77875	0.32848	0.06416	0.16843	0.06320	0.06320	0.00297	0.00336	1.23016	0.11917	201.03180	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
1	2.23482	36.06038	4.01483	0.00000	0.85177	1.57871	1.08124	1.43543	0.74412	0.14106	0.00179	0.16843	0.12062	0.12062	0.00576	0.00642	0.33771	0.12958	150.90404	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
1	1.33153	162.42473	1.90274	0.00000	0.85177	2.24217	2.65531	5.53891	0.53406	0.03330	0.03231	0.16843	0.32898	0.32898	0.01234	0.01750	0.04540	0.04775	106.14516	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
2	1.37452	85.76569	3.47225	0.00000	1.85813	6.18678	0.36089	1.33988	0.06293	0.23731	0.02004	251.27057	0.21492	0.21492	0.00354	0.01143	0.10637	0.00327	156.38887	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
2	1.69210	157.61134	7.96035	0.00000	1.85813	1.39913	1.11788	0.98702	0.52687	0.11039	0.08985	251.27057	0.32244	0.32244	0.00968	0.01715	0.04726	0.02208	107.62597	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
3	1.19238	2.71888	4.83882	0.00000	1.51317	5.61291	5.82043	1.27358	0.44274	0.25494	0.03357	0.90593	0.02153	0.02153	0.00079	0.00115	10.60231	0.04423	433.92944	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
3	1.29487	7.15079	6.60480	0.00000	1.51317	5.18562	0.70702	5.53938	0.65102	0.55989	0.06528	0.90593	0.04102	0.04102	0.00218	0.00218	2.92044	0.33688	279.65040	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
3	5.10412	155.79895	13.93632	0.00000	1.51317	3.77845	5.33958	2.46078	0.22111	0.36454	0.06389	0.90593	0.31997	0.31997	0.00134	0.01702	0.04799	0.00005	122.38143	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
3	0.79209	388.09543	0.41860	0.00000	1.51317	4.14406	1.53286	0.28123	0.13305	0.08322	0.01134	0.90593	0.58797	0.58797	0.00773	0.03128	0.01421	0.00165	92.72994	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
4	0.79170	2.22431	0.41860	0.00000	1.37635	6.26151	2.17624	0.38403	0.57961	0.36207	0.04270	176.33360	0.01883	0.01883	0.00084	0.00100	13.85674	0.09635	432.39620	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
4	0.72793	5.82233	0.63380	0.00000	1.37635	0.11319	2.64709	5.77032	0.58028	0.10023	0.06525	176.33360	0.03577	0.03577	0.00106	0.00190	3.84113	0.02131	313.62358	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
4	3.18602	14.77135	6.88456	0.00000	1.37635	4.29450	5.29915	3.67077	0.02445	0.16322	0.04826	176.33360	0.06653	0.06653	0.00319	0.00354	1.11010	0.13284	283.92648	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
4	0.84551	313.89524	0.53690	0.00000	1.37635	0.96166	4.32047	1.17138	0.45774	0.35454	0.04879	176.33360	0.51041	0.51041	0.01945	0.02715	0.01886	0.74852	88.50968	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
5	0.67408	2.06453	0.28817	0.00000	1.95914	3.55520	3.22098	1.43171	0.12337	0.48197	0.09214	1.55933	0.01792	0.01792	0.00036	0.00095	15.30470	0.93021	532.67749	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
5	2.64236	17.89545	5.59494	0.00000	1.95914	1.60669	5.14157	1.28240	0.74642	0.46239	0.03229	1.55933	0.07561	0.07561	0.00399	0.00402	0.85954	0.25606	190.17213	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
5	0.54252	46.44455	0.14839	0.00000	1.95914	5.59516	5.61165	2.23321	0.06252	0.39419	0.00188	1.55933	0.14279	0.14279	0.00288	0.00760	0.24099	0.00613	191.88735	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
5	1.11836	120.92442	2.24617	0.00000	1.95914	1.83449	2.55367	3.87805	0.02364	0.47890	0.01992	1.55933	0.27023	0.27023	0.01424	0.01437	0.06728	0.25282	140.90684	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
5	0.62134	171.04742	0.17157	0.00000	1.95914	4.34041	1.31554	4.76396	0.41878	0.14773	0.06381	1.55933	0.34052	0.34052	0.01779	0.01811	0.04237	0.41751	110.25912	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
5	2.13795	279.79290	10.42404	0.00000	1.95914	4.09284	1.02454	1.24032	0.14470	0.53972	0.01216	1.55933	0.47274	0.47274	0.01767	0.02515	0.02199	0.04723	103.06655	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
7	1.07829	8.89177	3.77263	0.00000	1.93730	2.65430	0.93085	0.92171	0.57861	0.05968	0.07785	143.60205	0.04743	0.04743	0.00112	0.00252	2.18409	0.01001	272.61107	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
7	3.16009	20.08412	5.59494	0.00000	1.93730	2.14383	4.83476	3.08383	0.66502	0.02458	0.01910	143.60205	0.08165	0.08165	0.00158	0.00434	0.73697	0.00538	196.18672	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
7	1.56840	108.91854	2.44048	0.00000	1.93730	1.40954	2.00882	1.36910	0.46373	0.44822	0.06376	143.60205	0.25204	0.25204	0.01308	0.01341	0.07735	0.43524	125.60682	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
8	1.85827	25.31532	5.95415	0.00000	1.10632	1.29857	4.03629	0.19234	0.60515	0.55324	0.02721	3.97617	0.09528	0.09528	0.00310	0.00507	0.54126	0.82035	189.24048	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
8	0.70444	183.77757	0.25445	0.00000	1.10632	4.49641	2.33243	3.50171	0.64600	0.36260	0.05243	3.97617	0.35721	0.35721	0.01751	0.01900	0.03851	0.53666	95.10147	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
9	0.67748	6.04214	0.22467	0.00000	1.58075	4.98916	0.26210	3.32033	0.31707	0.33511	0.01573	0.43948	0.03666	0.03666	0.00176	0.00195	3.65595	0.56108	349.86244	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
9	0.60238	22.88679	0.07964	0.00000	1.58075	3.26986	5.93364	1.06976	0.32557	0.25325	0.07560	0.43948	0.08908	0.08908	0.00356	0.00474	0.61917	0.06070	223.73840	32	0.24300	0.18000	3100.00000	18.79879	M	176.91978	0.25558	270.63592	59.06986	
4	5.45570	466.95248	44.52425	0.00000	1.67637	0.79831	3.50654	0.68048	0.19389	0.23949	0.07989	182.00009	0.75187	0.75187	0.02311	0.04534	0.01506	0.87610	92.38243	33	0.29100	0.26000	3250.00000	16.58342	M	203.18585	16.81086	347.85921	75.93751	
7	0.68949	2.22304	0.24923	0.00000	1.44742	1.34126	4.61038	5.80926	0.61963	0.12870	0.03297	1.82499	0.02128	0.02128	0.00071	0.00128	18.80118	0.85310	455.14579	33	0.29100	0.26000	3250.00000	16.58342	M	203.18585	16.81086	347.85921	75.93751	
7	1.15047	358.33929	1.75125	0.00000	1.44742	1.70996	1.02350	3.27489	0.54851	0.23574	0.06339	1.82499	0.63022	0.63022	0.01588	0.03800	0.02143	0.91690	87.29297	33	0.29100	0.26000	3250.00000	16.58342	M	203.18585	16.81086	347.85921	75.93751	
9	1.60434	49.08669	2.65160	0.00000	1.94857	3.40684	4.64863	0.10102	0.39485	0.19324	0.00364	150.35094	0.16747	0.16747	0.00374	0.01010	0.30350	0.93456	182.20497	33	0.29100	0.26000	3250.00000	16.58342	M	203.18585	16.81086	347.85921	75.93751	
1	1.86474	68.62814	4.27259	0.00000	2.21799	0.78080	5.28605	5.68096	0.20177	0.54185	0.08577	1.09973	0.18524	0.18524	0.00675	0.01118	0.14319	0.82510	161.83221	34	0.24300	0.18000	3100.00000	16.56320	M	203.18648	16.81146	347.86269	75.93756	
2	0.71494	1.39587	0.23910	0.00000	1.75878	2.77083	3.02547	4.68255	0.20790	0.01004	0.06072	2.30658	0.01380	0.01380	0.00020	0.00083	25.79061	0.00141	591.71665	34	0.24300	0.18000	3100.00000	16.56320	M	203.18648	16.81146	347.86269	75.93756	
2	2.07081	30.54942	12.30552	0.00000	1.75878	0.97225	2.99406	2.07736	0.32895	0.13265	0.01990	2.30658	0.10799	0.10799	0.00256	0.00652	0.42129	0.92660	202.94976	34	0.24300	0.18000	3100.00000	16.56320	M	203.18648	16.81146	347.86269	75.93756	
0	2.80956	290.68783	13.93632	0.00000	0.66817	6.16168	2.27720	4.33550	0.78945	0.29986	0.06554	4.01901	0.54817	0.54817	0.02833	0.02891	0.02833	0.22449	77.34727	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
1	0.82505	107.79182	0.49415	0.00000	0.32322	4.71634	0.29395	4.99338	0.20548	0.11482	0.03664	0.28927	0.28293	0.28293	0.01438	0.01492	0.10633	0.46296	150.05377	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
3	1.86975	51.07250	3.40098	0.00000	0.24799	1.94460	5.35841	6.04084	0.26107	0.50095	0.07071	0.35587	0.17196	0.17196	0.00884	0.00907	0.28787	0.43932	189.01818	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
3	1.86887	130.29798	9.79517	0.00000	0.24799	3.52147	1.98962	0.39711	0.73382	0.48088	0.08053	0.35587	0.32106	0.32106	0.01669	0.01693	0.08258	0.23873	107.16773	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
4	0.56333	370.75679	0.12833	0.00000	1.34376	0.48613	0.75963	4.00920	0.42855	0.18828	0.04982	1.14692	0.64470	0.64470	0.00788	0.03400	0.02048	0.97413	91.54416	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
5	0.59196	48.08023	0.23419	0.00000	1.40185	0.43009	2.84686	6.08983	0.20259	0.57990	0.04452	0.90106	0.16517	0.16517	0.00773	0.00871	0.31200	0.12184	196.56818	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
5	0.70844	413.63559	3.61933	0.00000	1.40185	1.58038	0.87420	1.72682	0.11569	0.29327	0.05882	0.90106	0.69349	0.69349	0.03152	0.03658	0.01770	0.10657	98.44506	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
6	0.81914	12.56038	0.25445	0.00000	2.04931	4.35490	1.10012	3.48204	0.17369	0.12128	0.04967	14.17960	0.06750	0.06750	0.00169	0.00356	1.86829	0.89269	310.24138	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
6	1.30378	140.08087	3.00300	0.00000	2.04931	0.69221	1.87398	1.12837	0.47075	0.37212	0.00521	14.17960	0.33694	0.33694	0.01764	0.01777	0.07498	0.25913	124.22391	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
6	2.13828	391.56558	10.21005	0.00000	2.04931	6.25930	1.46734	0.30972	0.60326	0.29515	0.00795	14.17960	0.66860	0.66860	0.01746	0.03527	0.01904	0.01435	82.05548	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
7	1.13151	155.88843	1.18085	0.00000	2.52587	1.97464	5.36042	3.03970	0.38781	0.36778	0.01106	2.85188	0.36183	0.36183	0.01660	0.01908	0.06502	0.11116	124.31768	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
8	0.71237	1.94462	0.31966	0.00000	1.52305	6.12950	3.34243	5.88351	0.39991	0.01101	0.03147	19.81512	0.01946	0.01946	0.00101	0.00103	22.47335	0.22587	533.36607	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
8	2.64691	39.85777	2.54385	0.00000	1.52305	5.31315	0.95456	5.33877	0.24869	0.18482	0.01528	19.81512	0.14576	0.14576	0.00769	0.00769	0.40065	0.31326	206.15731	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
9	1.77215	0.50230	2.49163	0.00000	0.84472	4.48675	1.07431	2.94172	0.51632	0.56180	0.06459	200.65789	0.00789	0.00789	0.00034	0.00042	136.61417	0.65914	793.53530	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
9	2.03677	116.64459	2.88098	0.00000	0.84472	3.91702	6.13341	3.50115	0.10154	0.46417	0.02203	200.65789	0.29822	0.29822	0.01554	0.01573	0.09571	0.40004	150.71913	35	0.29100	0.26000	3250.00000	18.95907	M	217.07323	5.31272	353.84936	58.25758	
